Do you have a holiday sweater?,Is it sparkly?,Does it make noise?,Does it light up?,Are things attached to it (i.e. is there anything that is normally not part of a sweater on it)?,What colors does it have?,Does it have a major image on it (i.e. something outside of the main pattern)?,"If yes, what is the image?"
Yes,Yes,No,No,No,"Red, Yellow, Blue, White, teal",Yes,octopus dressed like santa
Yes,No,No,No,No,Green,No,
Yes,No,No,No,No,"Red, Yellow, Green, Brown, White, Black",Yes,Houses
No,No,No,No,No,the limit does not exist,No,
Yes,No,No,No,No,"Blue, White, Black",Yes,T-rex
No,,,,,,,
Yes,No,No,No,No,"Red, Orange, Yellow, Green, White, Black",Yes,"3 sweaters - one is hanging gnome ornaments (Hanging with my Gnomies), another is a sheep (Fleece Navidad), another is a sloth wearing a christmas hat"
Yes,No,Yes,Yes,Yes,"Red, Green, Blue, Purple, White, Grey ",No,
No,,,,,,,
No,,,,,,,
Yes,No,No,No,No,"Red, Yellow, Green, Brown, White, Black, Gray, Silver",Yes,Santa Clause on a Motorcycle with Jesus in the Sidecar
Yes,Yes,No,No,Yes,"Red, Orange, Yellow, Green, Blue, Purple, Black",Yes,A kelp forest “Christmas tree” w San Diego fish & invert species
Yes,No,No,No,No,"Yellow, Blue",Yes,Star of David
No,,,,,,,
No,No,No,No,No,,No,
Yes,No,No,No,No,"Red, Green, White",Yes,"Picture of Santaur (santa as a centaur, shirtless)"
Yes,Yes,No,Yes,No,"Red, Orange, Yellow, Green, Blue, Purple, Black",Yes,A U.F.O.
Yes,No,No,No,No,"Red, Green, Blue, White",Yes,Shark in a santa hat
No,,,,,i really need to get a holiday sweater,,
Yes,No,No,No,No,"Red, Orange, Yellow, Green, Blue, Brown, White",Yes,crocodile with a christmas hat next to a palm tree with lights
Yes,Yes,No,No,No,"Red, Yellow, Green, Blue, White",No,
No,No,No,No,No,N/A,No,I'm wishing I had one now...
Yes,No,No,No,No,"Red, Green, Black, Skin Tone",Yes,A bikini and tattoos including a tramp stamp
Yes,No,No,No,No,"Blue, White",Yes,Reindeer
Yes,Yes,No,No,No,"Red, Orange, Yellow, Green, Blue, Purple, Brown, White, Black",No,
No,,,,,,,
No,,,,,,,
Yes,No,No,No,No,"Red, Gray",Yes,Cleveland Cavaliers Logo
Yes,No,No,No,No,"Blue, White",Yes,"star of david, torah, menorah"
No,No,No,No,No,,No,None
Yes,No,No,No,No,"Red, White, teal",Yes,"Dolphin tangled in Christmas lights, sounds darker than in probably was intended to be but it is a good environmental education talking point! "
Yes,No,No,No,No,"Red, Green",No,
Yes,No,No,No,Yes,"Green, Purple, White",Yes,Reindeer
No,No,No,No,No,,No,
No,,,,,,,
Yes,Yes,No,No,Yes,"Red, Green, Silver and gold",Yes, I think its a poinsettia - sorry I don't have a picture since its not with me.
No,No,No,No,No,,No,
Yes,Yes,No,No,No,"Red, Yellow, Green, Blue, White, Black",No,
No,No,No,No,No,,No,
Yes,No,No,No,Yes,"Red, Green, White",Yes,A tree
Yes,No,No,No,No,"Red, Brown, White",Yes,Reindeer 
No,No,No,No,No,"Brown, White, Black, I don't have a *holiday* sweater but i have AN AMAZING sweater I would wear in these moments",No,
Yes,No,No,No,No,"Red, Orange, Yellow, Green, Blue, Purple, Brown, White, Black",Yes,"Christmas tree, ornaments, lights, etc."
No,No,No,No,No,NA,No,NA
Yes,Yes,No,No,No,"Red, Green, Brown, White, Gold ",Yes,A pug with reindeer antlers on 
Yes,Yes,No,No,Yes,"Green, gold",Yes,Trees
No,,,,,,,
No,,,,,,,
Yes,Yes,No,No,No,"Red, Green, Gold",Yes,Christmas Tree
Yes,No,No,No,No,"Red, Green",Yes,Grinch 
Yes,No,No,No,No,"Red, Green, Blue",Yes,a golfer 
No,No,No,No,No,,No,
No,,,,,,,
No,,,,,,,
No,,,,,,,
Yes,No,No,No,No,"Red, Green, White",Yes,A T-Rex
No,,,,,,,
No,,,,,,,
Yes,Yes,No,No,Yes,"Red, Green, Brown, White, Black",Yes,"It's a sweater vest with snowmen, snowy trees, and santa on the front. "
Yes,No,No,No,No,Red,No,
Yes,No,No,No,Yes,"Yellow, Blue, White",Yes,Hanukah menorah
Yes,No,No,No,No,"Red, Green, White, Black",Yes,satan
Yes,No,No,No,No,"Red, Yellow, Green, Blue, White",Yes,"Christmas tree, santa, gifts, etc."
Yes,No,No,No,Yes,"Red, Yellow, Green, White, Black",Yes,Cat
No,,,,,,,"I thought I had a sweater, but I checked my closet and realized I had gotten rid of it :("
Yes,No,No,No,No,"Red, Green, White",Yes,Cats with presents
No,,,,,,,
Yes,Yes,Yes,No,Yes,"Red, Green, Blue, White, Black, Good ",Yes,Christmas tree 
Yes,Yes,No,Yes,No,"Red, Yellow, Green, Blue, Purple, Black, Pink",Yes,christmas tree ornaments
Yes,No,No,No,No,"Blue, White",No,
Yes,Yes,Yes,No,Yes,"Red, Green, Blue, White",Yes,Santa and elves 
Yes,No,No,No,No,Red,No,
Yes,No,No,,No,"Red, Yellow, Green, Brown, White, Black",Yes,Snoopy on a doghouse lit up with Christmas lights
Yes,No,No,No,No,"Orange, White, Black",Yes,The bugle podcast logo
No,,,,,,,
Yes,No,No,No,Yes,"Red, Green, Blue, White, Black",Yes,Polar bears and penguins ice skating with a Christmas tree
Yes,Yes,No,No,Yes,"Red, Yellow, Green, White, Black",Yes,"A cat wrapped in sparkly tinsel while wearing a scarf, a hat, and lil socks"
Yes,No,No,No,No,"Red, White, Black",Yes,reindeersss
No,,,,,,,
Yes,Yes,No,No,Yes,"Red, Yellow, Green, Blue, Brown, Black",Yes,A giraffe wearing a Santa hat and two scarves
No,No,No,No,No,,,
No,,,,,,,
Yes,Yes,No,No,No,terrifyingly bright pink,No,
Yes,No,No,No,No,"Yellow, Blue, Purple, White",No,
Yes,No,No,No,No,Blue,No,
Yes,No,No,No,No,"Yellow, White, Grey",No,
Yes,Yes,No,No,Yes,"Red, Yellow, Green, Blue, Black",No,I had previously shared my photo with the sweater and I had said ok to share my photo in the collage. Im sorry that was by mistake I do not want my photo to be used in the collage. Thanks sorry for the trouble. 
Yes,No,No,No,Yes,"Red, Yellow, Green, Blue, White, Black",Yes,"Divine from ""Pink Flamingos"""
No,,,,,,,
Yes,No,No,No,No,"Red, Green, Blue, Purple, Brown, White, Black",No,Just a very silly pattern ☺️
No,,,,,,,
Yes,Yes,No,No,Yes,"Red, Orange, Yellow, Green, White, Black",Yes,Santa Claus
Yes,Yes,No,No,No,"Red, Green, White",Yes,Rudolph the Red-Nosed Reindeer
Yes,Yes,No,No,Yes,"Red, White, Black",Yes,It is a Darth Vader snowman decapitating another snowman with a sparkly lightsaber
No,,,,,,,
Yes,Yes,No,No,No,"Red, Green, Gold",Yes,Tree
Yes,Yes,No,No,Yes,"Yellow, gray, gold",No,
Yes,No,No,No,No,"Red, Green, Blue, Black",No,
Yes,Yes,No,No,No,"Red, Blue, Brown, White",Yes,Reindeer
Yes,Yes,No,No,Yes,"Orange, Yellow, Blue",Yes,Menorah 
No,,,,,,,